@relation Clustered

@attribute CustId numeric
@attribute Cluster numeric

@data
16384,0
16385,0
16386,0
16387,1
16389,0
16392,1
16393,0
16394,0
16395,0
16398,2
16399,0
16400,0
16401,0
16402,1
16403,1
16404,0
16405,1
16406,0
16407,0
16409,2
16411,0
16412,0
16413,0
16414,0
16415,0
16416,0
16418,0
16419,0
16422,2
16423,0
16424,0
16425,1
16426,0
16427,1
16429,0
16430,0
16431,0
16432,0
16433,0
16434,0
16438,0
16440,2
16441,0
16442,0
16444,0
16445,0
16446,2
16447,0
16448,0
16449,0
16450,0
16451,0
16454,0
16455,0
16456,2
16457,0
16458,0
16460,0
16461,0
16462,0
16463,0
16464,2
16466,0
16468,0
16469,0
16470,0
16471,1
16473,0
16474,2
16475,0
16477,0
16478,0
16479,0
16480,2
16482,0
16483,0
16484,0
16485,0
16488,0
16491,2
16493,0
16494,2
16495,0
16496,2
16497,2
16498,0
16499,1
16500,0
16503,0
16504,0
16505,2
16506,0
16509,1
16510,1
16511,0
16513,0
16515,0
16516,0
16517,1
16518,0
16519,0
16520,0
16523,2
16525,2
16526,0
16527,0
16528,0
16529,0
16531,0
16532,2
16533,2
16535,2
16536,0
16539,0
16542,0
16545,0
16546,1
16549,2
16550,0
16551,0
16552,0
16553,2
16554,0
16555,0
16556,2
16557,0
16558,2
16560,0
16561,0
16563,2
16565,1
16566,0
16567,0
16569,0
16570,2
16571,0
16572,0
16573,0
16574,0
16581,0
16582,0
16583,1
16584,2
16586,1
16587,0
16589,0
16591,0
16592,2
16593,0
16594,0
16595,0
16596,0
16597,0
16598,1
16600,0
16601,0
16602,0
16603,0
16607,0
16609,2
16610,0
16611,0
16612,0
16613,2
16614,0
16616,0
16617,0
16618,2
16619,1
16620,0
16621,0
16623,0
16624,0
16625,1
16626,2
16627,0
16628,0
16629,0
16633,2
16634,0
16637,0
16638,0
16639,2
16641,0
16642,0
16643,1
16644,2
16647,0
16648,0
16650,0
16652,2
16653,2
16654,0
16655,2
16656,2
16657,0
16658,1
16659,0
16660,0
16665,1
16666,0
16667,0
16668,0
16669,2
16670,2
16671,2
16672,2
16674,0
16676,0
16678,0
16679,1
16680,0
16681,0
16682,0
16684,2
16685,0
16686,2
16688,2
16689,0
16690,0
16692,2
16693,0
16696,0
16697,0
16698,2
16700,0
16701,2
16705,2
16706,0
16708,2
16709,2
16710,0
16711,0
16712,0
16713,2
16714,2
16715,0
16716,2
16717,2
16718,1
16719,0
16720,0
16721,1
16722,0
16723,0
16725,1
16726,2
16727,1
16728,0
16729,2
16730,0
16732,2
16734,0
16735,2
16737,0
16738,1
16739,0
16742,0
16743,0
16744,0
16745,2
16746,2
16747,0
16748,0
16750,0
16751,2
16752,1
16753,0
16754,2
16755,0
16756,0
16757,1
16758,0
16759,0
16761,0
16762,2
16763,0
16764,0
16765,1
16766,1
16767,2
16768,0
16769,1
16770,0
16771,2
16773,0
16774,0
16775,0
16776,0
16777,0
16778,0
16779,2
16780,0
16781,1
16782,0
16784,0
16788,0
16789,0
16790,2
16791,0
16792,1
16793,0
16794,0
16795,1
16796,0
16800,2
16801,2
16803,0
16804,0
16805,0
16806,0
16807,0
16808,0
16809,0
16810,0
16811,0
16812,1
16813,0
16814,2
16816,0
16817,0
16818,2
16820,0
16823,0
16824,0
16825,0
16826,0
16828,0
16829,0
16830,0
16832,0
16833,0
16834,0
16835,0
16836,0
16837,2
16838,0
16839,2
16841,0
16842,0
16843,2
16846,0
16847,0
16848,0
16849,0
16850,1
16851,0
16852,0
16855,0
16856,0
16858,1
16859,0
16861,0
16863,0
16866,0
16869,0
16871,2
16872,0
16873,2
16875,2
16877,0
16878,0
16880,0
16881,0
16882,0
16883,0
16884,0
16885,0
16887,0
16889,2
16891,0
16892,0
16893,1
16895,0
16897,1
16898,0
16899,0
16900,2
16902,2
16903,0
16904,0
16905,2
16906,0
16907,0
16909,0
16910,0
16912,0
16913,1
16914,0
16915,0
16916,0
16917,1
16918,0
16919,0
16921,0
16923,2
16924,0
16926,1
16927,0
16928,0
16929,0
16930,0
16931,0
16932,0
16933,0
16934,2
16936,0
16938,2
16940,2
16942,0
16943,0
16945,0
16947,1
16948,0
16949,0
16950,2
16951,2
16952,0
16953,0
16954,0
16955,0
16956,0
16957,0
16959,0
16960,0
16961,0
16963,0
16965,0
16966,0
16967,0
16968,0
16969,0
16971,0
16976,1
16978,0
16979,0
16980,2
16982,0
16983,0
16984,2
16985,2
16986,2
16987,0
16988,0
16989,2
16990,0
16992,0
16996,0
16997,1
16998,0
16999,0
17001,0
17002,0
17004,2
17006,0
17007,0
17010,0
17011,0
17014,0
17015,2
17017,2
17018,0
17019,0
17022,0
17024,0
17025,0
17026,0
17027,0
17029,0
17030,0
17031,0
17033,0
17034,0
17035,0
17037,2
17038,0
17040,0
17041,0
17042,0
17043,2
17044,2
17045,0
17046,2
17047,0
17048,0
17049,2
17050,2
17051,0
17052,0
17053,0
17054,0
17058,0
17059,2
17060,1
17061,2
17062,1
17063,0
17064,0
17068,0
17069,0
17070,0
17071,0
17073,0
17075,0
17076,0
17078,0
17079,0
17080,0
17081,0
17082,2
17083,2
17084,2
17085,0
17086,0
17088,2
17090,2
17091,2
17092,2
17094,1
17095,2
17096,0
17097,0
17100,2
17101,2
17102,0
17105,0
17107,2
17109,0
17110,0
17111,0
17114,0
17115,0
17117,1
17118,1
17119,0
17120,0
17122,0
17123,0
17124,0
17125,0
17126,0
17128,1
17131,2
17133,2
17134,0
17135,0
17138,1
17139,2
17140,1
17142,1
17144,2
17146,0
17147,0
17148,0
17152,2
17153,0
17154,0
17155,0
17157,0
17158,0
17159,2
17160,2
17162,0
17163,0
17164,2
17165,1
17166,0
17169,0
17171,1
17172,0
17173,2
17174,0
17175,0
17176,0
17179,0
17180,0
17181,0
17183,2
17186,0
17187,0
17188,0
17189,0
17190,0
17191,0
17193,2
17194,1
17197,2
17198,0
17201,0
17203,2
17204,2
17205,0
17206,0
17211,0
17212,1
17213,0
17214,0
17217,0
17218,0
17219,0
17220,0
17221,0
17222,0
17223,1
17226,1
17227,0
17228,0
17229,0
17230,2
17231,0
17232,0
17233,0
17234,0
17235,0
17236,0
17237,0
17238,0
17239,1
17242,2
17243,2
17244,2
17245,0
17247,0
17248,0
17250,0
17251,1
17252,0
17253,0
17254,0
17255,0
17256,0
17259,0
17262,0
17263,0
17265,0
17266,0
17267,0
17268,0
17272,2
17274,0
17277,2
17278,0
17279,0
17282,2
17284,2
17286,0
17287,0
17288,0
17289,0
17290,0
17291,1
17293,0
17295,0
17297,0
17298,0
17299,0
17301,0
17302,0
17303,1
17306,2
17309,0
17311,2
17312,0
17313,2
17314,2
17315,0
17317,2
17320,0
17321,2
17323,0
17324,2
17325,1
17329,0
17330,0
17331,0
17333,0
17334,1
17337,2
17338,2
17339,0
17340,2
17341,0
17343,1
17344,0
17345,0
17346,0
17347,0
17348,0
17349,0
17350,2
17351,0
17353,2
17354,2
17356,1
17357,0
17358,1
17359,0
17360,0
17361,0
17362,0
17364,2
17365,2
17367,0
17368,0
17370,0
17371,0
17372,0
17373,0
17374,0
17375,0
17376,0
17377,0
17379,0
17381,2
17382,0
17383,0
17384,0
17385,0
17386,2
17387,0
17388,0
17389,2
17391,0
17392,1
17394,0
17396,2
17397,0
17398,0
17400,2
17402,0
17403,0
17404,2
17405,0
17406,2
17408,0
17409,0
17410,0
17411,0
17412,0
17414,2
17415,0
17416,2
17418,0
17419,2
17420,0
17422,0
17423,0
17425,2
17426,2
17427,0
17428,2
17429,0
17430,0
17431,1
17432,0
17433,0
17434,0
17436,0
17438,1
17440,0
17442,0
17443,1
17444,2
17446,0
17447,0
17449,2
17450,2
17451,0
17453,0
17454,0
17455,0
17456,1
17457,0
17458,0
17459,0
17460,0
17461,0
17462,0
17463,2
17464,0
17466,0
17468,0
17469,0
17470,0
17472,0
17475,0
17480,0
17481,0
17483,0
17486,1
17489,0
17490,0
17491,0
17492,1
17495,0
17496,1
17498,0
17499,1
17500,0
17501,0
17502,0
17503,0
17504,2
17505,2
17506,0
17507,1
17508,1
17509,2
17510,0
17511,2
17512,2
17513,0
17514,0
17515,0
17516,0
17517,1
17519,0
17520,0
17521,0
17522,0
17523,0
17524,1
17525,1
17526,2
17527,0
17528,2
17530,0
17531,0
17534,0
17535,1
17536,0
17537,2
17538,0
17540,0
17542,1
17545,0
17548,0
17549,0
17550,0
17551,1
17552,2
17553,2
17554,2
17555,0
17556,0
17557,0
17560,0
17561,0
17562,0
17564,0
17566,0
17567,2
17569,1
17571,2
17572,0
17573,0
17574,0
17576,0
17578,0
17579,0
17580,0
17581,2
17582,0
17584,2
17585,0
17588,0
17589,2
17590,2
17591,0
17593,2
17594,2
17595,0
17596,2
17597,2
17600,0
17601,0
17602,2
17603,0
17604,0
17608,0
17609,0
17611,0
17612,0
17613,2
17614,0
17615,0
17616,0
17618,0
17619,1
17620,0
17621,2
17623,0
17624,0
17625,2
17628,0
17629,2
17630,0
17631,0
17633,0
17634,2
17636,0
17637,0
17639,1
17640,2
17642,0
17643,1
17644,0
17646,0
17647,0
17648,2
17649,2
17650,0
17651,2
17652,2
17653,0
17654,1
17655,2
17656,2
17658,0
17659,2
17660,0
17663,0
17664,0
17666,0
17667,2
17668,0
17669,2
17670,0
17671,0
17672,2
17673,0
17674,0
17675,2
17676,0
17677,2
17678,1
17679,2
17680,0
17682,2
17684,0
17685,2
17686,2
17690,2
17691,1
17692,0
17693,0
17694,0
17695,0
17696,0
17697,0
17698,1
17700,2
17701,1
17702,0
17703,0
17704,0
17705,0
17706,2
17707,0
17708,0
17709,0
17711,0
17712,0
17714,1
17715,0
17716,2
17718,0
17719,2
17720,0
17722,2
17723,2
17724,0
17725,0
17727,2
17728,2
17730,2
17731,0
17732,1
17733,0
17734,0
17735,2
17736,0
17737,0
17738,2
17739,0
17742,0
17744,2
17746,0
17747,0
17749,0
17750,0
17752,1
17754,2
17757,0
17758,2
17759,2
17760,0
17761,2
17763,0
17764,0
17765,0
17767,0
17768,2
17769,2
17770,0
17771,0
17772,0
17774,0
17775,0
17777,0
17779,0
17781,0
17783,0
17785,0
17786,0
17787,2
17788,2
17789,1
17790,0
17791,0
17793,0
17795,0
17796,0
17797,0
17799,2
17800,0
17802,2
17805,0
17806,0
17809,2
17811,2
17812,0
17813,2
17816,0
17817,0
17819,2
17824,0
17827,2
17828,2
17829,2
17830,0
17831,0
17832,0
17835,0
17836,0
17837,0
17838,2
17839,0
17841,2
17843,1
17844,0
17846,2
17848,0
17849,0
17850,1
17852,0
17854,0
17855,1
17856,2
17857,2
17858,2
17859,1
17860,1
17861,2
17862,1
17863,2
17864,0
17865,2
17866,0
17867,0
17869,0
17870,0
17871,0
17873,0
17874,0
17877,0
17878,0
17879,0
17880,1
17881,1
17883,0
17884,0
17885,0
17886,0
17887,0
17888,0
17889,0
17890,1
17891,0
17892,0
17893,0
17894,0
17895,0
17896,0
17897,0
17898,0
17899,0
17900,0
17901,0
17904,0
17905,0
17906,0
17908,1
17911,0
17912,1
17913,0
17914,0
17917,0
17919,2
17920,0
17921,0
17923,1
17924,2
17925,1
17926,0
17928,0
17929,0
17930,0
17931,0
17932,2
17934,2
17935,0
17936,0
17937,2
17939,0
17940,2
17941,0
17942,0
17946,0
17947,0
17948,0
17949,2
17950,0
17951,2
17954,0
17955,0
17956,0
17957,0
17958,0
17960,0
17961,0
17962,0
17964,0
17965,0
17966,0
17967,1
17968,1
17969,0
17970,0
17972,0
17973,0
17974,0
17975,2
17976,1
17977,0
17978,1
17979,0
17980,0
17984,0
17985,2
17986,0
17987,0
17988,0
17990,0
17991,0
17994,0
17995,1
17997,0
17999,0
18001,0
18004,1
18005,0
18006,0
18008,2
18009,0
18010,0
18011,1
18013,0
18014,0
18015,0
18016,2
18017,0
18018,0
18019,0
18022,2
18024,0
18027,0
18030,0
18032,1
18033,0
18034,0
18035,0
18036,0
18037,0
18040,0
18041,0
18042,0
18043,0
18044,0
18045,0
18048,0
18050,1
18053,0
18055,2
18056,1
18058,0
18059,0
18061,0
18062,0
18064,0
18065,0
18066,0
18067,0
18068,1
18069,2
18071,1
18072,0
18073,2
18074,1
18075,0
18077,0
18078,0
18079,2
18080,2
18081,0
18082,2
18084,0
18085,1
18086,1
18087,2
18088,0
18092,2
18093,2
18094,2
18095,1
18096,0
18097,2
18099,0
18101,0
18102,2
18104,2
18105,0
18106,1
18108,1
18109,2
18110,0
18112,0
18113,1
18114,1
18116,0
18117,0
18118,0
18119,1
18120,0
18121,2
18122,0
18123,0
18125,0
18126,0
18127,0
18129,0
18130,0
18133,2
18135,0
18136,0
18138,1
18139,2
18142,2
18143,0
18144,0
18145,2
18146,0
18147,0
18149,0
18150,0
18151,0
18154,0
18155,0
18156,0
18158,0
18159,1
18160,0
18161,0
18164,0
18165,0
18167,0
18168,0
18169,0
18170,0
18171,0
18172,2
18173,2
18174,0
18176,1
18177,0
18178,0
18179,0
18180,0
18181,0
18183,0
18184,0
18185,1
18188,2
18189,2
18190,0
18191,1
18192,2
18193,0
18194,2
18196,0
18198,0
18200,0
18202,2
18203,0
18204,2
18205,0
18209,0
18210,2
18211,0
18212,1
18213,0
18215,0
18216,0
18217,0
18218,0
18219,0
18220,0
18221,0
18222,0
18223,2
18224,1
18225,2
18226,2
18227,0
18228,0
18229,0
18230,0
18231,2
18232,0
18233,1
18235,2
18236,0
18237,0
18239,0
18240,0
18241,0
18242,2
18245,2
18246,0
18248,0
18249,0
18250,1
18251,2
18252,0
18255,0
18257,2
18259,2
18260,0
18261,0
18262,0
18263,0
18265,0
18268,0
18269,1
18270,0
18272,2
18273,0
18274,0
18276,0
18277,0
18278,0
