@relation rfm-weka.filters.unsupervised.attribute.Remove-R1

@attribute r numeric
@attribute f numeric
@attribute m numeric

@data
309,1,40
203,1,39.8
231,1,54.08
213,1,120
1,2,160
51,3,160
286,1,23.4
2,10,60
109,2,69.36
7,4,64.8
3,1,23.4
50,4,163.2
71,3,70.8
310,1,40
24,1,120
10,2,62.4
314,2,80
129,1,69.36
81,2,76.2
21,4,157.92
184,5,72
28,2,80
337,2,75
15,6,81.36
79,1,45
21,1,29.5
71,4,141.6
18,12,76.5
35,2,127.5
45,1,200
118,4,70.2
302,1,25.5
322,1,35.4
49,1,166
21,2,145
49,5,90
32,5,122.4
308,2,160
74,3,50.4
66,3,54
216,3,79.2
2,9,84
112,1,68
63,1,39.8
15,4,56
95,3,120
0,8,45
77,1,70.8
194,1,72
21,3,68
8,4,183.6
42,1,47.8
0,7,203.52
84,2,47.6
99,1,80
1,18,131.4
366,1,23.25
2,1,30
21,1,56
57,1,38.25
242,1,45
43,1,84
21,4,165
155,2,66
16,2,80
133,1,30
72,6,158.4
65,7,196.35
70,2,80
93,2,200
18,2,168
52,4,36
9,8,119.6
16,2,40.8
187,2,70.8
31,7,126
16,18,72
53,1,54
15,11,198
3,1,135
10,1,54
22,10,144
16,8,200
32,6,196
9,3,84.75
335,1,36
4,10,171.84
38,1,46.8
62,2,23.4
165,2,36
15,7,39.8
81,1,177.6
20,3,36
336,1,144
95,5,196
17,2,131.4
232,1,7.95
133,3,208.8
25,2,20.23
283,1,49.5
142,2,162.72
65,2,10.5
112,1,54
266,1,59.7
352,1,105
77,2,104
27,5,90
0,5,54
63,1,54
78,5,90
142,1,54
38,2,20
18,11,39.6
8,8,152.64
0,3,72
81,3,50.4
8,6,59.4
59,4,139.8
14,1,29.95
29,1,45
130,1,108
91,2,44.55
28,1,39.8
21,4,178.5
29,3,84
35,1,56
74,2,84
46,2,84
197,2,30.6
165,1,28
78,1,140
357,1,19.5
38,2,120
7,10,108
49,2,23.6
7,1,74.88
310,2,106.2
4,3,144
302,1,23.6
7,7,171.84
260,1,54
288,1,19.8
85,1,54
22,10,171.8
1,32,126
39,2,30
8,2,54
226,1,35.4
315,1,36
35,5,34.8
34,3,31.2
20,2,196
77,1,54
246,1,36
39,1,19.8
238,2,120
2,15,132.8
3,9,91.8
233,2,138.24
16,1,33.2
7,1,41.6
38,1,40
28,2,54
316,1,84
91,2,33
108,3,39.5
37,10,85.92
50,2,112
