@relation rfm

@attribute CustomerID string
@attribute r numeric
@attribute f numeric
@attribute m numeric

@data
12350,309,1,40
12353,203,1,39.8
12354,231,1,54.08
12355,213,1,120
12358,1,2,160
12360,51,3,160
12361,286,1,23.4
12362,2,10,60
12363,109,2,69.36
12364,7,4,64.8
12367,3,1,23.4
12370,50,4,163.2
12372,71,3,70.8
12373,310,1,40
12374,24,1,120
12375,10,2,62.4
12377,314,2,80
12378,129,1,69.36
12379,81,2,76.2
12380,21,4,157.92
12383,184,5,72
12384,28,2,80
12386,337,2,75
12388,15,6,81.36
12390,79,1,45
12391,21,1,29.5
12393,71,4,141.6
12395,18,12,76.5
12397,35,2,127.5
12398,45,1,200
12399,118,4,70.2
12401,302,1,25.5
12402,322,1,35.4
12403,49,1,166
12406,21,2,145
12407,49,5,90
12408,32,5,122.4
12410,308,2,160
12412,74,3,50.4
12413,66,3,54
12414,216,3,79.2
12417,2,9,84
12418,112,1,68
12420,63,1,39.8
12421,15,4,56
12422,95,3,120
12423,0,8,45
12425,77,1,70.8
12426,194,1,72
12427,21,3,68
12429,8,4,183.6
12430,42,1,47.8
12433,0,7,203.52
12434,84,2,47.6
12436,99,1,80
12437,1,18,131.4
12441,366,1,23.25
12442,2,1,30
12445,21,1,56
12446,57,1,38.25
12447,242,1,45
12448,43,1,84
12449,21,4,165
12450,155,2,66
12452,16,2,80
12453,133,1,30
12455,72,6,158.4
12457,65,7,196.35
12458,70,2,80
12461,93,2,200
12462,18,2,168
12463,52,4,36
12464,9,8,119.6
12465,16,2,40.8
12468,187,2,70.8
12472,31,7,126
12474,16,18,72
12475,53,1,54
12476,15,11,198
12478,3,1,135
12479,10,1,54
12481,22,10,144
12483,16,8,200
12484,32,6,196
12488,9,3,84.75
12489,335,1,36
12490,4,10,171.84
12491,38,1,46.8
12492,62,2,23.4
12493,165,2,36
12494,15,7,39.8
12497,81,1,177.6
12498,20,3,36
12501,336,1,144
12502,95,5,196
12504,17,2,131.4
12506,232,1,7.95
12507,133,3,208.8
12508,25,2,20.23
12509,283,1,49.5
12510,142,2,162.72
12512,65,2,10.5
12513,112,1,54
12514,266,1,59.7
12515,352,1,105
12516,77,2,104
12517,27,5,90
12518,0,5,54
12519,63,1,54
12520,78,5,90
12521,142,1,54
12522,38,2,20
12523,18,11,39.6
12524,8,8,152.64
12526,0,3,72
12527,81,3,50.4
12528,8,6,59.4
12530,59,4,139.8
12531,14,1,29.95
12532,29,1,45
12534,130,1,108
12535,91,2,44.55
12538,28,1,39.8
12539,21,4,178.5
12541,29,3,84
12544,35,1,56
12545,74,2,84
12546,46,2,84
12547,197,2,30.6
12548,165,1,28
12550,78,1,140
12551,357,1,19.5
12552,38,2,120
12553,7,10,108
12556,49,2,23.6
12558,7,1,74.88
12559,310,2,106.2
12560,4,3,144
12561,302,1,23.6
12562,7,7,171.84
12564,260,1,54
12565,288,1,19.8
12566,85,1,54
12567,22,10,171.8
12569,1,32,126
12571,39,2,30
12572,8,2,54
12573,226,1,35.4
12574,315,1,36
12576,35,5,34.8
12577,34,3,31.2
12578,20,2,196
12579,77,1,54
12580,246,1,36
12581,39,1,19.8
12582,238,2,120
12583,2,15,132.8
12584,3,9,91.8
12585,233,2,138.24
12586,16,1,33.2
12587,7,1,41.6
12588,38,1,40
12589,28,2,54
12591,316,1,84
12592,91,2,33
12593,108,3,39.5
12594,37,10,85.92
12596,50,2,112
12598,9,8,108
12599,28,7,60
12601,189,5,75.6
12602,58,1,23.9
12604,78,2,30
12607,59,1,39.6
12609,77,3,90
12610,22,5,160
12611,51,1,144
12612,73,1,62.55
12613,56,5,126
12614,277,1,22.95
12615,1,4,171.84
12616,94,2,63.6
12617,28,1,28.9
12618,21,1,40
12620,14,3,40
12622,231,1,25.5
12623,275,1,39
12624,105,2,36
12625,211,2,175.2
12626,22,9,144
12627,10,7,108
12628,3,3,50
12630,9,2,120
12631,56,1,160
12635,89,2,126
12637,66,8,108
12638,32,1,160
12639,238,1,120
12640,23,3,90
12641,114,1,40
12642,24,3,93.6
12644,129,1,30
12645,33,4,70.8
12646,4,2,81.36
12647,21,12,139.2
12648,154,1,44.75
12649,106,3,70.8
12650,2,1,94.8
12651,334,1,17.85
12652,330,1,126
12654,10,5,25.2
12657,10,4,127.5
12658,18,1,54
12659,29,1,28.08
12660,10,1,25.2
12662,0,11,41.6
12665,324,1,30
12667,57,1,160
12670,9,5,90
12672,329,1,47.7
12673,4,2,45
12674,38,4,89.7
12676,24,6,114.45
12679,58,4,76.32
12680,0,4,36
12683,3,15,175.2
12684,7,7,93.6
12685,27,6,90
12686,371,1,18
12688,113,1,135
12689,25,2,72
12690,205,1,54
12691,27,6,158.4
12693,126,4,91.8
12694,69,2,54.75
12695,6,4,70.8
12697,28,3,80
12700,7,4,126
12701,79,2,36
12702,19,1,25.2
12703,70,1,25.2
12704,6,8,200
12705,14,9,162
12707,291,1,68
12708,29,10,53.1
12710,96,3,72
12712,28,13,142.8
12713,0,1,71.7
12714,8,5,108
12715,105,1,80
12716,3,2,54
12717,150,2,100
12718,70,1,36
12719,4,2,37.5
12720,2,25,108
12721,31,6,72
12722,84,4,81.6
12723,3,5,61.2
12724,4,4,54
12725,370,1,56
12726,27,7,54
12727,10,7,183.6
12728,70,4,40.8
12729,113,1,36
12732,179,1,40
12733,233,1,76.5
12734,352,1,46.8
12735,314,2,54
12736,332,1,90
12738,371,1,19.8
12739,77,2,153
12740,63,1,34
12743,133,2,22.5
12749,3,5,114.75
12750,128,1,40.68
12756,86,1,61.2
12758,116,2,66
12759,51,3,45
12762,7,2,140
12763,137,2,87
12764,316,1,153
12766,3,7,168
12769,238,1,175.2
12772,59,1,140
12775,16,5,59.4
12778,19,6,54
12779,37,8,102
12781,63,2,70.8
12782,4,5,112
12784,8,2,56
12785,363,1,56
12787,9,3,62.4
12789,64,1,39.95
12790,191,1,39.8
12791,373,1,177.6
12792,256,1,56
12793,334,2,66
12794,52,2,59.4
12795,18,1,112
12797,365,1,35.7
12802,186,1,35.7
12808,36,3,28
12809,177,1,84
12811,260,3,29.5
12812,44,1,31.6
12814,101,1,85.92
12815,147,2,120
12816,95,2,80
12817,280,1,59.4
12820,2,4,37.8
12821,213,1,19.92
12822,70,2,102
12824,59,1,47.7
12826,2,7,35.4
12827,5,3,44.55
12828,2,6,45.9
12829,336,2,79.9
12831,261,1,42
12832,31,2,19.8
12833,144,1,27.04
12834,282,1,25.2
12836,58,4,84.15
12837,172,1,25.5
12838,33,2,35.4
12839,2,14,70.8
12840,143,4,59
12841,4,25,107.28
12842,69,2,122.4
12843,65,8,59.4
12844,28,2,17.85
12845,266,4,208.8
12847,21,1,46.8
12849,30,2,100
12851,96,1,16.95
12852,294,1,34.8
12853,134,6,81.6
12854,78,3,135.2
12855,372,1,17.7
12856,7,6,49.92
12857,210,2,68
12864,137,1,119.52
12865,25,2,33.9
