@relation RFMTable

@attribute CustomerID numeric
@attribute Recency numeric
@attribute Frequency numeric
@attribute Monetary numeric

@data
16384,-0.00855,-3.13598,-0.00146
16385,-0.0863,-2.63598,-0.00222
16386,-0.16941,-3.13598,-0.00237
16387,0.61611,-3.63598,-0.00333
16389,-0.10507,-2.13598,-0.00063
16392,0.4767,-3.63598,-0.00258
16393,-0.2418,2.36402,-0.00163
16394,-0.09702,-1.63598,-0.00203
16395,-0.08362,-1.63598,-0.00083
16398,0.16571,-3.13598,0.00305
16399,-0.19622,-3.13598,-0.00252
16400,0.00753,-3.63598,-0.00209
16401,-0.24448,1.86402,-0.001
16402,0.4633,-3.13598,-0.00264
16403,0.5893,-3.63598,-0.00284
16404,-0.05949,-3.63598,-0.00126
16405,0.56249,-3.13598,-0.00294
16406,-0.1989,-3.63598,-0.00292
16407,-0.21499,0.86402,-0.0012
16409,-0.15064,-1.63598,-0.00028
16411,-0.19622,-3.13598,-0.00311
16412,-0.10239,-3.63598,-0.00299
16413,-0.09434,-3.63598,-0.00233
16414,-0.19086,-3.13598,-0.00344
16415,-0.1292,-3.63598,-0.00264
16416,-0.17477,-2.63598,-0.00168
16418,-0.12652,-2.63598,-0.00207
16419,0.05579,-1.13598,-0.00232
16422,-0.20158,21.36402,0.01008
16423,-0.18282,-3.63598,-0.00184
16424,0.26491,-3.63598,-0.0031
16425,0.56249,-3.63598,-0.0021
16426,-0.2418,0.86402,-0.00194
16427,0.45794,-3.13598,-0.00311
16429,0.03702,-3.63598,-0.0022
16430,-0.09434,-3.63598,-0.00211
16431,0.32389,-2.63598,-0.00212
16432,-0.07558,-3.63598,-0.00219
16433,-0.17209,-3.63598,-0.0028
16434,-0.16941,-0.63598,-0.00151
16438,-0.23375,-1.63598,-0.00268
16440,-0.22571,-1.63598,0.00266
16441,-0.06753,-3.13598,-0.00264
16442,-0.24448,-2.63598,-0.0022
16444,-0.12383,-2.13598,-0.0021
16445,-0.15601,-3.63598,-0.00252
16446,-0.24448,-3.13598,0.99611
16447,0.11745,-3.63598,-0.00235
16448,0.28367,-3.63598,-0.00277
16449,0.28099,-3.13598,-0.00142
16450,0.15231,-3.63598,-0.00204
16451,-0.01391,-3.63598,-0.00231
16454,-0.1292,-3.13598,-0.00386
16455,-0.07558,-0.63598,-0.00082
16456,0.01826,-1.63598,0.00078
16457,0.33729,-3.63598,-0.00266
16458,-0.2418,4.86402,-0.00238
16460,-0.17209,-2.63598,-0.0021
16461,0.23005,-3.63598,-0.00299
16462,-0.05145,-2.63598,-0.00349
16463,-0.19086,-2.13598,-0.00098
16464,-0.19354,-2.63598,-0.00025
16466,-0.15869,-0.63598,-0.00176
16468,-0.04877,-3.63598,-0.00345
16469,-0.18282,-2.13598,-0.00278
16470,-0.10775,-2.13598,-0.00257
16471,0.48743,-3.63598,-0.00257
16473,0.19252,-2.63598,-0.00301
16474,-0.22839,-0.63598,-0.00045
16475,-0.01123,-2.13598,-0.00205
16477,-0.07826,-0.63598,-0.00095
16478,-0.18013,-2.63598,-0.00269
16479,-0.22035,-3.13598,-0.00252
16480,-0.04609,-3.63598,0.00067
16482,-0.20426,-3.63598,-0.00258
16483,0.26759,-3.63598,-0.00306
16484,0.21933,-3.13598,-0.0022
16485,-0.04072,-3.63598,-0.00174
16488,-0.15869,-2.63598,-0.00259
16491,-0.12383,-3.63598,0.00045
16493,-0.03536,-2.13598,-0.00051
16494,0.54909,-3.63598,0.00101
16495,-0.23912,-2.63598,-0.0013
16496,-0.22571,-2.63598,0.00048
16497,-0.11579,-1.13598,0.0045
16498,0.18448,-3.13598,-0.00335
16499,0.71799,-3.13598,-0.0026
16500,-0.23375,-1.13598,-0.00291
16503,0.03702,-2.13598,-0.00099
16504,-0.18013,-3.63598,-0.00102
16505,-0.16137,-3.63598,0.00072
16506,-0.19354,-3.13598,-0.00356
16509,0.54641,-3.63598,-0.00174
16510,0.75016,-3.63598,-0.00242
16511,-0.19086,-2.63598,-0.00171
16513,-0.23643,-2.13598,-0.0006
16515,-0.10775,-1.63598,-0.00166
16516,-0.16673,-3.63598,-0.00329
16517,0.49547,-3.63598,-0.00293
16518,-0.08362,-3.13598,-0.00215
16519,-0.18013,-3.13598,-0.00323
