@relation RFMTable-weka.filters.unsupervised.attribute.Remove-R1

@attribute Recency numeric
@attribute Frequency numeric
@attribute Monetary numeric

@data
89,2,409
60,3,281
28,2,256
322,1,94
53,4,550
269,1,221
2,13,380
56,5,313
60,5,516
154,2,1169
19,2,230
94,1,303
1,12,487
264,2,211
312,1,177
70,1,443
302,2,160
18,1,163
12,10,453
36,5,608
19,2,131
53,1,151
56,1,262
21,2,75
44,1,210
26,3,372
44,3,306
112,6,264
17,51,2353
24,1,346
191,1,133
302,1,302
2,10,328
263,2,131
106,1,284
57,1,300
213,3,298
64,1,287
28,1,184
29,7,401
5,5,204
7,5,1103
67,2,211
1,3,285
46,4,301
33,1,230
0,2,168469
135,1,259
198,1,188
197,2,416
149,1,311
87,1,266
44,2,5
63,7,517
99,5,787
218,1,208
2,18,254
28,3,302
177,1,151
73,3,68
21,4,491
19,3,613
33,7,359
74,1,74
23,4,187
51,4,223
274,1,223
164,3,149
7,7,580
88,4,310
63,7,495
25,3,202
10,2,231
75,1,769
15,1,220
192,1,139
173,2,285
77,1,363
33,3,219
46,1,731
79,4,569
296,1,826
3,3,437
8,3,736
49,6,1414
161,2,91
360,2,218
4,6,165
106,4,488
25,1,484
31,1,777
19,2,55
296,1,363
372,1,248
21,3,367
4,4,554
52,5,376
30,1,101
277,1,162
61,2,293
25,2,111
186,3,423
1,21,848
2,26,974
171,1,290
81,1,228
3,1,244
190,1,455
22,7,245
17,3,2606
19,3,610
5,1,593
110,1,548
2,4,442
53,1,119
164,1,339
290,2,487
10,10,1079
108,5,554
95,3,311
242,2,284
163,12,951
42,3,522
35,2,151
66,7,757
24,2,180
0,20,1256
26,2,509
5,2,264
53,1,1077
364,1,173
15,5,185
194,2,557
3,1,124
15,10,709
26,3,524
127,3,367
84,2,370
71,1,451
182,1,105
113,1,313
373,1,233
80,2,611
248,1,463
232,1,225
71,3,244
68,1,213
4,16,918
50,3,185
75,1,181
61,1,360
15,2,129
4,1,90
285,1,145
